freq,"dB(S(1,1))","dB(S(2,1))","dB(S(3,3))","dB(S(4,3))","dB(S(5,5))","dB(S(6,5))","dB(S(7,7))","dB(S(8,7))","dB(S(9,9))","dB(S(10,9))","dB(S(11,11))","dB(S(12,11))"
5.81E+10,-14.49386022,-0.606398572,-22.19197717,-0.962428101,-40.52305752,-0.955770509,-25.39591111,-0.918732483,-24.85588821,-1.543002847,-15.62362498,-1.130139344
5.82E+10,-14.03232884,-0.441514828,-21.72078799,-1.055823559,-38.24897907,-0.956197679,-26.1038256,-0.904403398,-25.75176802,-1.54463291,-15.83785737,-1.126482777
5.83E+10,-12.56116674,-0.427104429,-21.2787435,-1.192017222,-36.49207097,-0.970108359,-26.87445413,-0.892595415,-26.74058562,-1.545903281,-16.05503086,-1.12379087
5.84E+10,-9.854816574,-0.387178844,-20.86116191,-1.359840431,-35.04529,-1.00250117,-27.72043083,-0.883427884,-27.84484824,-1.546666671,-16.27600591,-1.122168958
5.85E+10,-8.880074724,-0.302933367,-20.46391197,-1.542605352,-33.76911289,-1.056629235,-28.65810761,-0.876950954,-29.09644227,-1.546725683,-16.50176913,-1.121789878
5.86E+10,-8.277193344,-0.396307582,-20.08333201,-1.722128134,-32.52101567,-1.130166176,-29.70914976,-0.873155912,-30.5426795,-1.545815555,-16.73345329,-1.122939283
5.87E+10,-7.620586046,-0.591891214,-19.71615865,-1.882493692,-31.08451979,-1.211742372,-30.90303421,-0.871985033,-32.25815161,-1.54358115,-16.97237311,-1.12609538
5.88E+10,-8.072944166,-0.904242036,-19.35946471,-2.01222851,-29.0771209,-1.282934227,-32.28102225,-0.873340462,-34.37067826,-1.539546793,-17.22009005,-1.132074749
5.89E+10,-8.264545467,-1.184081515,-19.01060588,-2.104700488,-25.92549704,-1.327539168,-33.90236757,-0.877091917,-37.12769737,-1.533077969,-17.47853069,-1.142304748
5.90E+10,-9.216366166,-1.544472082,-18.66717607,-2.157353698,-21.26626617,-1.340293011,-35.85258098,-0.883083186,-41.112409,-1.523335417,-17.75020829,-1.159313184
5.91E+10,-10.20849137,-1.797253528,-18.32697151,-2.170533737,-17.07022714,-1.326725415,-38.24341938,-0.891137509,-48.31004798,-1.509226243,-18.03864963,-1.187367998
