W_50 [mm],Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []",im(Gamma(1)) [],re(Gamma(1)) [],re(Zo(1)) [],"ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.55,58.15,-16.53522815,-6.667795742,1983.686782,5.357010312,142.8135346,139.8687274,15.51583936
0.55,58.2,-16.62282324,-6.676822764,1985.957838,5.360147317,142.786107,137.3984599,14.07885846
0.55,58.25,-16.70649918,-6.684861241,1988.228271,5.363286954,142.7588205,135.020304,12.63553143
0.55,58.3,-16.78514356,-6.69208246,1990.498081,5.366429213,142.7316745,132.7335734,11.18512876
0.55,58.35,-16.85765939,-6.698664371,1992.767272,5.369574082,142.7046682,130.537183,9.726970458
0.55,58.4,-16.92295711,-6.704792201,1995.035846,5.37272155,142.6778012,128.42966,8.260431183
0.55,58.45,-16.97994565,-6.710659031,1997.303805,5.375871605,142.6510727,126.4091334,6.784946345
0.55,58.5,-17.02752347,-6.716466341,1999.571151,5.379024236,142.6244822,124.4733013,5.300019436
0.55,58.55,-17.06456986,-6.72242448,2001.837886,5.382179433,142.5980289,122.6193734,3.805230642
0.55,58.6,-17.08993771,-6.728753045,2004.104012,5.385337183,142.5717123,120.8439877,2.300246903
0.55,58.65,-17.1024483,-6.735681153,2006.369531,5.388497477,142.5455318,119.1430994,0.784833583
0.55,58.7,-17.10088944,-6.743447537,2008.634446,5.391660303,142.5194868,117.5118433,-0.741132091
0.55,58.75,-17.08401822,-6.752300439,2010.898758,5.394825651,142.4935766,115.944369,-2.277645605
0.55,58.8,-17.05056991,-6.762497224,2013.16247,5.397993509,142.4678007,114.4336514,-3.824557564
0.55,58.85,-16.99927474,-6.774303632,2015.425584,5.401163867,142.4421584,112.9712834,-5.381553695
0.55,58.9,-16.92888461,-6.787992558,2017.688101,5.404336715,142.4166491,111.5472582,-6.948132244
0.55,58.95,-16.83821147,-6.803842211,2019.950024,5.407512042,142.3912724,110.1497563,-8.523578557
0.55,59,-16.72617923,-6.822133482,2022.211355,5.410689837,142.3660274,108.764957,-10.10693671
0.55,59.05,-16.5918902,-6.843146239,2024.472096,5.413870089,142.3409138,107.3769005,-11.69697817
0.55,59.1,-16.43470647,-6.867154252,2026.732249,5.41705279,142.3159309,105.9674363,-13.29216767
0.55,59.15,-16.25434464,-6.894418279,2028.991815,5.420237927,142.2910781,104.5162954,-14.89062693
