"W_50 [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1:1)) []","re(Gamma(1:1)) []","re(Zo(1:1)) []","ang_deg(Y(1,1)) [deg]","ang_deg(Y(2,1)) [deg]"
0.65,59.95,-14.3332711211304,-1.24654735039629,2077.7668908893,4.87844839433322,14.1004875793756,67.0106492260344,-112.378073901735
0.65,60,-14.764213404295,-1.23247645860053,2079.67957977487,4.88256393738259,14.1023225009918,64.5795830253765,-114.980200694795
0.65,60.05,-15.2250722401907,-1.21928144221661,2081.59223029862,4.88668100215164,14.1041635654071,61.5741308292769,-118.15772736727
0.65,60.1,-15.7189735184667,-1.20703662517064,2083.5048428396,4.89079958754603,14.1060107660471,57.806268309531,-122.098950276639
0.65,60.15,-16.2495170655105,-1.19582176351146,2085.41741777543,4.89491969247093,14.1078640963731,53.0170740865241,-127.063069271371
0.65,60.2,-16.8208525255108,-1.18572273064315,2087.32995548237,4.89904131583103,14.1097235498813,46.8618570606851,-133.395064964489
0.65,60.25,-17.4377577087944,-1.17683210940387,2089.24245633528,4.90316445653051,14.1115891201027,38.9250140716225,-141.510846398628
0.65,60.3,-18.1057065255184,-1.16924954593526,2091.15492070764,4.90728911347302,14.1134608006032,28.8312043509589,-151.786082575067
0.65,60.35,-18.8308968233153,-1.16308163766367,2093.06734897156,4.91141528556166,14.1153385849827,16.5478760076488,-164.253682343871
0.65,60.4,-19.6201727045261,-1.15844101569151,2094.9797414978,4.91554297169893,14.1172224668755,2.80701343908995,-178.182053153933
0.65,60.45,-20.4806996945227,-1.15544414139148,2096.89209865572,4.9196721707868,14.1191124399495,-10.8876984290173,167.932058381798
0.65,60.5,-21.4190886583044,-1.15420718199654,2098.80442081335,4.92380288172658,14.1210084979066,-23.0518896649059,155.572549410521
0.65,60.55,-22.4393225453153,-1.15483920014008,2100.71670833736,4.92793510341899,14.1229106344816,-32.9886995205642,145.435771180579
0.65,60.6,-23.5381568977775,-1.15743186988253,2102.62896159309,4.93206883476408,14.1248188434427,-40.7530013911563,137.466318467089
0.65,60.65,-24.695504487257,-1.16204515667101,2104.54118094453,4.93620407466126,14.1267331185911,-46.7275693223718,131.280891567336
0.65,60.7,-25.8563564968463,-1.16868906393621,2106.45336675431,4.94034082200925,14.1286534537604,-51.3290093602748,126.462411090814
0.65,60.75,-26.9047272842204,-1.17730284297413,2108.36551938378,4.94447907570608,14.1305798428168,-54.9023271899796,122.665514553728
0.65,60.8,-27.6521732362318,-1.18773501780769,2110.27763919293,4.94861883464905,14.1325122796585,-57.7082875750844,119.629273411358
0.65,60.85,-27.9004531182225,-1.19972982164257,2112.18972654044,4.95276009773475,14.1344507582159,-59.9387763048523,117.161904640835
0.65,60.9,-27.586293827675,-1.21292717701955,2114.10178178368,4.95690286385899,14.1363952724508,-61.7351409516925,115.122475782023
0.65,60.95,-26.8405712226481,-1.22688265325545,2116.01380527871,4.96104713191684,14.1383458163568,-63.2027565253053,113.406328448376
0.65,61,-25.8704688794401,-1.24110962698718,2117.9257973803,4.96519290080258,14.1403023839585,-64.4211677330635,111.934847864084
0.65,61.05,-24.8361808377669,-1.2551384763937,2119.8377584419,4.96934016940967,14.1422649693116,-65.4507420394142,110.64864642982
0.65,61.1,-23.8248610198602,-1.26857988455832,2121.74968881568,4.97348893663079,14.1442335665028,-66.3369704914576,109.503057031358
0.65,61.15,-22.8731123666353,-1.28117557876137,2123.66158885252,4.97763920135775,14.146208169649,-67.1133843431745,108.465022826865
0.65,61.2,-21.9909524527586,-1.29282303599487,2125.57345890203,4.98179096248152,14.1481887728977,-67.803783691527,107.510741155638
0.65,61.25,-21.1763991963576,-1.30356971340034,2127.48529931253,4.98594421889221,14.1501753704264,-68.4241812476828,106.623687198245
0.65,61.3,-20.4229127694155,-1.31358246235316,2129.39711043106,4.99009896947904,14.1521679564426,-68.9846106113848,105.792861631845
0.65,61.35,-19.7229030351072,-1.32310401877127,2131.30889260341,4.99425521313034,14.1541665251834,-69.4907837254441,105.011244647485
0.65,61.4,-19.0692675609897,-1.33240894214062,2133.22064617411,4.99841294873351,14.1561710709154,-69.9455196967178,104.274493231053
0.65,61.45,-18.4559672306432,-1.34176763581838,2135.13237148643,5.00257217517504,14.1581815879344,-70.3498805050667,103.579913552981
0.65,61.5,-17.8781362319155,-1.35142207728278,2137.04406888237,5.00673289134046,14.1601980705653,-70.7039954289699,102.925709371827
0.65,61.55,-17.3319767501122,-1.36157290069243,2138.95573870271,5.01089509611433,14.1622205131617,-71.0076007724815,102.310476670918
0.65,61.6,-16.8145694921793,-1.37237533630822,2140.86738128696,5.01505878838026,14.1642489101059,-71.2603485088466,101.732896489298
0.65,61.65,-16.3236696220853,-1.38394096555444,2142.77899697343,5.01922396702085,14.1662832558085,-71.4619455085734,101.191573231682
0.65,61.7,-15.8575229877307,-1.39634263895903,2144.69058609917,5.02339063091769,14.1683235447083,-71.6121798816215,100.684970597953
0.65,61.75,-15.414716915407,-1.40962063823756,2146.602149,5.02755877895136,14.1703697712721,-71.7108794163741,100.211406786609
0.65,61.8,-14.9940678655469,-1.42378888603867,2148.51368601054,5.0317284100014,14.1724219299944,-71.7578341698705,99.7690811091368
0.65,61.85,-14.5945419866905,-1.43884056733041,2150.42519746417,5.0358995229463,14.1744800153973,-71.7527037599434,99.3561134866941
0.65,61.9,-14.2152020843758,-1.45475290134874,2152.33668369307,5.04007211666349,14.17654402203,-71.6949209207642,98.9705856224821
0.65,61.95,-13.8551742275805,-1.47149102460122,2154.2481450282,5.0442461900293,14.1786139444693,-71.5835964688246,98.6105778675794
0.65,62,-13.5136280503037,-1.48901105939018,2156.15958179934,5.04842174191899,14.1806897773185,-71.4174265592608,98.2741992256434
0.65,62.05,-13.1897660533116,-1.50726248901459,2158.07099433505,5.05259877120671,14.1827715152078,-71.1946004191192,97.959610001109
0.65,62.1,-12.8828184636164,-1.52618996959774,2159.9823829627,5.05677727676548,14.1848591527939,-70.91270508139,97.6650377000196
0.65,62.15,-12.5920412770707,-1.54573469841356,2161.89374800848,5.06095725746718,14.1869526847598,-70.5686225675101,97.3887872807825
0.65,62.2,-12.3167159354199,-1.56583544092608,2163.80508979736,5.06513871218256,14.1890521058147,-70.1584141418348,97.1292469731851
0.65,62.25,-12.0561496853732,-1.58642929961881,2165.71640865319,5.0693216397812,14.1911574106936,-69.6771854469018,96.8848908075707
0.65,62.3,-11.8096760742822,-1.60745229002086,2167.62770489859,5.0735060391315,14.1932685941574,-69.1189253488186,96.6542788297742
0.65,62.35,-11.5766553011283,-1.62883977428578,2169.53897885503,5.07769190910067,14.1953856509923,-68.4763100506872,96.4360557846872
0.65,62.4,-11.3564743041475,-1.65052679046115,2171.45023084283,5.08187924855472,14.1975085760101,-67.7404623775054,96.2289488663658
0.65,62.45,-11.1485465604464,-1.67244830597457,2173.36146118111,5.08606805635846,14.1996373640475,-66.9006540478383,96.0317649713091
0.65,62.5,-10.9523116226436,-1.6945394164611,2175.27267018785,5.09025833137545,14.2017720099664,-65.9439362460895,95.8433877592315
